order date,ship date,sales,profit,discount,region,category,sub-category,order_year,order_month,order_day,profit_ratio
2021-07-18,2021-07-21,1563.79,217.8,0.1,Central,technology,phones,2021,7,18,0.1392770128981513
2022-01-22,2022-01-27,1210.21,295.65,0.1,East,technology,copiers,2022,1,22,0.2442964444187372
2020-03-16,2020-03-18,380.01,-71.62,0.3,West,office supplies,paper,2020,3,16,-0.18846872450724983
2020-01-18,2020-01-19,596.63,228.3,0.1,South,office supplies,binders,2020,1,18,0.38264921308013344
2020-08-15,2020-08-21,415.35,159.96,0.3,East,technology,accessories,2020,8,15,0.38512098230408087
2019-10-09,2019-10-14,911.99,-190.71,0.0,South,technology,phones,2019,10,9,-0.20911413502341036
2020-02-16,2020-02-18,213.39,278.96,0.2,South,office supplies,paper,2020,2,16,1.3072777543465017
2020-02-15,2020-02-18,1820.45,-18.85,0.3,South,technology,phones,2020,2,15,-0.010354582658133979
2021-11-14,2021-11-20,1102.49,-70.6,0.2,West,office supplies,paper,2021,11,14,-0.06403686201235385
2018-07-21,2018-07-27,1854.78,309.09,0.2,South,office supplies,paper,2018,7,21,0.16664510076666775
2021-06-29,2021-06-30,1923.12,391.17,0.0,West,office supplies,storage,2021,6,29,0.20340384375389994
2020-03-02,2020-03-04,1931.21,224.92,0.0,East,technology,phones,2020,3,2,0.1164658426582298
2018-03-06,2018-03-07,1974.04,340.57,0.3,South,furniture,bookcases,2018,3,6,0.17252436627423964
2019-08-16,2019-08-19,1584.55,224.17,0.1,Central,technology,copiers,2019,8,16,0.14147234230538638
2020-11-17,2020-11-18,1254.13,31.63,0.3,Central,office supplies,binders,2020,11,17,0.025220670903335376
2020-03-15,2020-03-18,1190.77,-7.69,0.2,East,technology,accessories,2020,3,15,-0.006458006164078706
2022-01-25,2022-01-28,1526.35,192.89,0.2,West,technology,phones,2022,1,25,0.12637337438988436
2019-01-28,2019-01-30,70.33,-124.48,0.2,South,technology,copiers,2019,1,28,-1.7699417033982654
2019-07-18,2019-07-23,1026.97,435.3,0.2,Central,technology,phones,2019,7,18,0.42386827268566757
2021-04-09,2021-04-14,473.02,-146.11,0.2,Central,furniture,bookcases,2021,4,9,-0.30888757346412415
2019-11-13,2019-11-18,605.35,-126.15,0.3,South,office supplies,paper,2019,11,13,-0.2083918394317337
2021-09-16,2021-09-18,261.73,49.41,0.1,East,office supplies,paper,2021,9,16,0.1887823329385244
2021-07-30,2021-08-05,21.03,46.8,0.2,Central,furniture,chairs,2021,7,30,2.2253922967189728
2019-10-11,2019-10-17,459.77,-116.09,0.3,South,office supplies,storage,2019,10,11,-0.2524958131239533
2021-10-29,2021-10-30,819.6,-154.58,0.1,South,technology,copiers,2021,10,29,-0.18860419716935092
2021-11-10,2021-11-13,615.74,-0.61,0.0,Central,office supplies,storage,2021,11,10,-0.000990677883522266
2019-10-04,2019-10-08,121.93,-4.95,0.0,East,furniture,tables,2019,10,4,-0.04059706388911671
2021-02-27,2021-03-04,989.12,489.96,0.3,Central,technology,accessories,2021,2,27,0.4953494014881915
2021-04-22,2021-04-25,499.48,362.2,0.0,South,technology,copiers,2021,4,22,0.7251541603267397
2020-09-08,2020-09-11,1636.54,358.84,0.0,South,office supplies,paper,2020,9,8,0.219267478949491
2019-04-09,2019-04-14,1719.55,28.17,0.3,Central,technology,accessories,2019,4,9,0.01638219301561455
2018-05-27,2018-05-31,1297.44,-77.94,0.0,South,office supplies,storage,2018,5,27,-0.06007214206437291
2020-05-21,2020-05-22,1357.87,314.65,0.1,Central,technology,accessories,2020,5,21,0.23172321356241762
2021-08-14,2021-08-17,472.53,-77.53,0.3,East,technology,accessories,2021,8,14,-0.16407423867267687
2020-06-15,2020-06-21,1796.49,430.29,0.2,Central,furniture,tables,2020,6,15,0.23951705826361405
2021-01-27,2021-01-30,1457.39,427.98,0.3,West,furniture,chairs,2021,1,27,0.29366195733468736
2021-12-14,2021-12-20,1344.6,206.48,0.3,West,furniture,bookcases,2021,12,14,0.15356239773910457
2018-06-02,2018-06-07,582.16,13.75,0.1,West,furniture,bookcases,2018,6,2,0.02361893637487976
2018-06-10,2018-06-14,489.75,27.78,0.3,South,technology,phones,2018,6,10,0.05672281776416539
2019-02-05,2019-02-06,1094.23,156.17,0.1,Central,technology,copiers,2019,2,5,0.14272136570922017
2018-02-07,2018-02-13,798.33,424.43,0.2,Central,office supplies,paper,2018,2,7,0.5316473137674896
2020-03-08,2020-03-09,1162.27,144.76,0.0,South,office supplies,binders,2020,3,8,0.12454937320932313
2019-07-01,2019-07-02,106.34,496.19,0.1,East,furniture,bookcases,2019,7,1,4.6660710927214595
